Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep3-Act3,Iron 3,Skye,10,0.81,11.8,14.7,6.1,0.1,0.044,0.49,173,364242
Ep3-Act3,Iron 3,Brimstone,11,0.85,12.4,14.6,5.3,0.1,0.035,0.49,182,290496
Ep3-Act3,Iron 3,Yoru,12,0.85,12.7,14.9,3.5,0.1,0.032,0.45,187,263160
Ep3-Act3,Iron 3,Chamber,13,0.92,13.1,14.3,3.4,0.1,0.032,0.5,190,263109
Ep3-Act3,Iron 3,Cypher,14,0.85,12.1,14.2,4.4,0.1,0.029,0.49,176,234549
Ep3-Act3,Iron 3,KAY/O,15,0.76,11.5,15.0,6.5,0.1,0.027,0.48,171,219147
Ep3-Act3,Iron 3,Breach,16,0.84,12.5,14.9,4.7,0.1,0.016,0.5,184,131631
Ep3-Act3,Iron 3,Astra,17,0.89,12.6,14.3,4.4,0.1,0.009,0.49,183,75939
Ep3-Act3,Bronze 1,Sage,1,0.84,12.0,14.3,6.4,0.1,0.167,0.51,173,1963449
Ep3-Act3,Bronze 1,Reyna,2,1.06,15.7,14.8,4.2,0.2,0.132,0.51,230,1549227
Ep3-Act3,Bronze 1,Jett,3,1.02,15.2,14.9,4.0,0.2,0.102,0.5,223,1200132
Ep3-Act3,Bronze 1,Raze,4,0.94,14.1,15.0,4.8,0.1,0.076,0.5,215,897447
Ep3-Act3,Bronze 1,Sova,5,0.88,12.5,14.3,5.2,0.1,0.069,0.5,186,812634
Ep3-Act3,Bronze 1,Killjoy,6,0.9,12.6,14.0,4.3,0.1,0.066,0.53,189,769386
Ep3-Act3,Bronze 1,Omen,7,0.9,13.3,14.8,4.4,0.1,0.057,0.49,192,673353
Ep3-Act3,Bronze 1,Viper,8,0.88,12.7,14.4,5.0,0.1,0.056,0.51,184,661317
Ep3-Act3,Bronze 1,Skye,9,0.85,12.5,14.7,6.2,0.1,0.046,0.49,181,542691
Ep3-Act3,Bronze 1,Phoenix,10,0.93,13.8,14.9,3.9,0.1,0.046,0.48,204,540345
Ep3-Act3,Bronze 1,Brimstone,11,0.88,12.9,14.6,5.6,0.1,0.037,0.5,189,431307
Ep3-Act3,Bronze 1,Chamber,12,0.97,13.9,14.4,3.4,0.1,0.035,0.49,199,410805
Ep3-Act3,Bronze 1,Cypher,13,0.9,12.8,14.2,4.4,0.1,0.029,0.5,184,337773
Ep3-Act3,Bronze 1,Yoru,14,0.89,13.4,15.0,3.6,0.1,0.027,0.46,195,317628
Ep3-Act3,Bronze 1,KAY/O,15,0.82,12.3,15.1,6.7,0.1,0.025,0.47,183,293046
Ep3-Act3,Bronze 1,Breach,16,0.85,12.9,15.1,4.9,0.1,0.018,0.49,189,207876
Ep3-Act3,Bronze 1,Astra,17,0.92,13.3,14.4,4.5,0.1,0.012,0.49,189,137751
Ep3-Act3,Bronze 2,Sage,1,0.88,12.6,14.3,6.5,0.1,0.159,0.51,180,2711211
Ep3-Act3,Bronze 2,Reyna,2,1.1,16.4,14.9,4.2,0.2,0.137,0.51,238,2332587
Ep3-Act3,Bronze 2,Jett,3,1.07,16.0,14.9,4.0,0.2,0.108,0.5,233,1834623
Ep3-Act3,Bronze 2,Raze,4,0.97,14.7,15.1,4.8,0.1,0.074,0.5,222,1264494
Ep3-Act3,Bronze 2,Sova,5,0.92,13.2,14.4,5.3,0.1,0.068,0.5,194,1162596
Ep3-Act3,Bronze 2,Killjoy,6,0.93,13.0,14.0,4.3,0.1,0.066,0.52,194,1119552
Ep3-Act3,Bronze 2,Omen,7,0.93,13.8,14.8,4.5,0.1,0.058,0.5,199,986238
Ep3-Act3,Bronze 2,Viper,8,0.92,13.2,14.3,5.1,0.1,0.056,0.51,191,946203
Ep3-Act3,Bronze 2,Skye,9,0.89,13.0,14.6,6.2,0.1,0.045,0.5,188,773517
Ep3-Act3,Bronze 2,Phoenix,10,0.97,14.4,14.9,4.0,0.2,0.044,0.48,212,741438
Ep3-Act3,Bronze 2,Chamber,11,1.01,14.5,14.4,3.4,0.1,0.039,0.5,207,669987
Ep3-Act3,Bronze 2,Brimstone,12,0.91,13.4,14.7,5.8,0.1,0.039,0.5,195,668916
Ep3-Act3,Bronze 2,Cypher,13,0.92,13.1,14.3,4.3,0.1,0.029,0.49,188,490773
Ep3-Act3,Bronze 2,KAY/O,14,0.85,12.8,15.1,6.9,0.1,0.024,0.47,188,412029
Ep3-Act3,Bronze 2,Yoru,15,0.91,13.8,15.1,3.6,0.1,0.023,0.45,201,397239
Ep3-Act3,Bronze 2,Breach,16,0.9,13.5,15.1,4.9,0.1,0.018,0.49,195,305796
Ep3-Act3,Bronze 2,Astra,17,0.95,13.7,14.3,4.6,0.1,0.013,0.48,195,226644
Ep3-Act3,Bronze 3,Sage,1,0.91,13.0,14.3,6.6,0.1,0.152,0.51,186,3157053
Ep3-Act3,Bronze 3,Reyna,2,1.14,17.1,15.0,4.3,0.2,0.143,0.52,247,2969832
Ep3-Act3,Bronze 3,Jett,3,1.12,16.7,15.0,4.0,0.2,0.114,0.51,242,2366859
Ep3-Act3,Bronze 3,Raze,4,1.01,15.3,15.1,4.9,0.1,0.073,0.51,229,1508529
Ep3-Act3,Bronze 3,Killjoy,5,0.96,13.5,14.1,4.3,0.1,0.067,0.52,200,1388118
Ep3-Act3,Bronze 3,Sova,6,0.94,13.6,14.4,5.5,0.1,0.067,0.5,200,1384038
Ep3-Act3,Bronze 3,Omen,7,0.97,14.4,14.9,4.6,0.1,0.058,0.5,205,1202223
Ep3-Act3,Bronze 3,Viper,8,0.95,13.7,14.3,5.1,0.1,0.057,0.51,197,1188351
Ep3-Act3,Bronze 3,Skye,9,0.92,13.6,14.7,6.2,0.1,0.047,0.5,194,968337
Ep3-Act3,Bronze 3,Chamber,10,1.04,15.0,14.4,3.4,0.1,0.041,0.5,213,859962
Ep3-Act3,Bronze 3,Brimstone,11,0.94,13.8,14.7,5.9,0.1,0.04,0.5,201,824262
Ep3-Act3,Bronze 3,Phoenix,12,1.02,15.2,14.9,4.0,0.2,0.037,0.49,222,757044
Ep3-Act3,Bronze 3,Cypher,13,0.96,13.7,14.3,4.4,0.1,0.028,0.5,194,578595
Ep3-Act3,Bronze 3,KAY/O,14,0.88,13.2,15.0,7.0,0.1,0.022,0.48,194,459663
Ep3-Act3,Bronze 3,Yoru,15,0.96,14.5,15.1,3.6,0.2,0.019,0.46,210,403563
Ep3-Act3,Bronze 3,Breach,16,0.92,13.8,15.0,4.9,0.1,0.019,0.48,199,395250
Ep3-Act3,Bronze 3,Astra,17,0.99,14.1,14.3,4.8,0.1,0.015,0.5,199,318903
Ep3-Act3,Silver 1,Sage,1,0.9,13.1,14.5,6.7,0.1,0.15,0.51,185,3943167
Ep3-Act3,Silver 1,Reyna,2,1.15,17.3,15.1,4.2,0.2,0.145,0.51,249,3809649
Ep3-Act3,Silver 1,Jett,3,1.13,17.1,15.1,3.9,0.2,0.121,0.51,245,3163020
Ep3-Act3,Silver 1,Raze,4,1.02,15.5,15.2,4.8,0.1,0.07,0.5,232,1829931
Ep3-Act3,Silver 1,Sova,5,0.96,13.8,14.4,5.5,0.1,0.068,0.5,202,1771536
Ep3-Act3,Silver 1,Killjoy,6,0.96,13.5,14.1,4.2,0.1,0.064,0.51,199,1685652
Ep3-Act3,Silver 1,Omen,7,0.96,14.4,15.0,4.7,0.1,0.058,0.49,203,1516791
Ep3-Act3,Silver 1,Viper,8,0.95,13.8,14.4,5.2,0.1,0.057,0.5,197,1486191
Ep3-Act3,Silver 1,Skye,9,0.92,13.7,14.8,6.1,0.1,0.047,0.5,194,1228284
Ep3-Act3,Silver 1,Chamber,10,1.05,15.2,14.5,3.3,0.1,0.044,0.5,214,1142502
Ep3-Act3,Silver 1,Brimstone,11,0.95,14.0,14.7,6.1,0.1,0.041,0.51,201,1064880
Ep3-Act3,Silver 1,Phoenix,12,1.04,15.6,15.0,4.0,0.2,0.035,0.49,227,909483
Ep3-Act3,Silver 1,Cypher,13,0.96,13.8,14.4,4.3,0.1,0.028,0.49,195,746589
Ep3-Act3,Silver 1,KAY/O,14,0.88,13.4,15.1,7.1,0.1,0.02,0.48,195,533664
Ep3-Act3,Silver 1,Breach,15,0.92,13.9,15.2,5.0,0.1,0.02,0.48,199,512499
Ep3-Act3,Silver 1,Astra,16,0.99,14.3,14.4,4.9,0.1,0.017,0.51,199,452013
Ep3-Act3,Silver 1,Yoru,17,0.95,14.6,15.3,3.5,0.2,0.017,0.45,211,435081
Ep3-Act3,Silver 2,Reyna,1,1.16,17.6,15.2,4.2,0.2,0.149,0.51,252,4081122
Ep3-Act3,Silver 2,Sage,2,0.92,13.3,14.5,6.7,0.1,0.144,0.51,188,3938679
Ep3-Act3,Silver 2,Jett,3,1.16,17.5,15.2,3.9,0.2,0.128,0.51,250,3503394
Ep3-Act3,Silver 2,Raze,4,1.03,15.9,15.4,4.9,0.2,0.069,0.51,236,1893987
Ep3-Act3,Silver 2,Sova,5,0.97,14.1,14.5,5.6,0.1,0.067,0.5,204,1841304
Ep3-Act3,Silver 2,Killjoy,6,0.97,13.7,14.1,4.1,0.1,0.064,0.52,201,1759857
Ep3-Act3,Silver 2,Omen,7,0.97,14.6,15.0,4.8,0.1,0.058,0.49,205,1588752
Ep3-Act3,Silver 2,Viper,8,0.98,14.1,14.4,5.2,0.1,0.058,0.51,200,1583652
Ep3-Act3,Silver 2,Skye,9,0.94,14.0,14.9,6.1,0.1,0.047,0.5,197,1279131
Ep3-Act3,Silver 2,Chamber,10,1.06,15.5,14.5,3.3,0.1,0.046,0.5,217,1250214
Ep3-Act3,Silver 2,Brimstone,11,0.96,14.3,14.8,6.2,0.1,0.04,0.5,204,1099407
Ep3-Act3,Silver 2,Phoenix,12,1.05,15.9,15.1,3.9,0.2,0.03,0.49,230,824415
Ep3-Act3,Silver 2,Cypher,13,0.97,14.0,14.5,4.3,0.1,0.029,0.49,197,782289
Ep3-Act3,Silver 2,Breach,14,0.93,14.1,15.2,5.0,0.1,0.02,0.49,202,555951
Ep3-Act3,Silver 2,KAY/O,15,0.9,13.6,15.2,7.1,0.1,0.019,0.48,197,531726
Ep3-Act3,Silver 2,Astra,16,1.0,14.5,14.4,4.9,0.1,0.019,0.5,202,522495
Ep3-Act3,Silver 2,Yoru,17,0.96,14.8,15.3,3.5,0.2,0.015,0.45,212,398769
Ep3-Act3,Silver 3,Reyna,1,1.17,17.9,15.2,4.1,0.2,0.153,0.51,254,4260948
Ep3-Act3,Silver 3,Sage,2,0.93,13.5,14.5,6.7,0.1,0.138,0.51,190,3830508
Ep3-Act3,Silver 3,Jett,3,1.16,17.7,15.2,3.9,0.2,0.135,0.51,252,3769359
Ep3-Act3,Silver 3,Sova,4,0.99,14.3,14.5,5.7,0.1,0.068,0.51,206,1881033
Ep3-Act3,Silver 3,Raze,5,1.04,16.1,15.5,4.8,0.2,0.067,0.5,239,1871751
Ep3-Act3,Silver 3,Killjoy,6,0.98,13.9,14.2,4.1,0.1,0.062,0.52,202,1720179
Ep3-Act3,Silver 3,Viper,7,0.99,14.2,14.4,5.2,0.1,0.058,0.51,201,1615017
Ep3-Act3,Silver 3,Omen,8,0.98,14.7,15.1,4.9,0.1,0.057,0.49,206,1583142
Ep3-Act3,Silver 3,Skye,9,0.95,14.1,14.9,6.0,0.1,0.048,0.5,199,1328652
Ep3-Act3,Silver 3,Chamber,10,1.08,15.7,14.6,3.2,0.1,0.047,0.5,219,1294533
Ep3-Act3,Silver 3,Brimstone,11,0.97,14.3,14.8,6.2,0.1,0.039,0.5,205,1097469
Ep3-Act3,Silver 3,Phoenix,12,1.06,16.1,15.2,4.0,0.2,0.028,0.49,232,787899
Ep3-Act3,Silver 3,Cypher,13,0.97,14.1,14.5,4.2,0.1,0.028,0.5,197,784227
Ep3-Act3,Silver 3,Astra,14,1.0,14.6,14.5,5.0,0.1,0.021,0.5,202,575076
Ep3-Act3,Silver 3,Breach,15,0.93,14.3,15.3,5.2,0.1,0.021,0.49,202,572271
Ep3-Act3,Silver 3,KAY/O,16,0.9,13.7,15.3,7.2,0.1,0.018,0.47,198,500973
Ep3-Act3,Silver 3,Yoru,17,0.98,15.1,15.3,3.5,0.2,0.013,0.46,216,359550
Ep3-Act3,Gold 1,Reyna,1,1.13,17.4,15.4,4.1,0.2,0.146,0.51,246,3836118
Ep3-Act3,Gold 1,Sage,2,0.91,13.3,14.6,6.7,0.1,0.139,0.51,186,3646398
Ep3-Act3,Gold 1,Jett,3,1.12,17.3,15.4,3.8,0.2,0.135,0.5,244,3530475
Ep3-Act3,Gold 1,Sova,4,0.96,14.0,14.6,5.7,0.1,0.071,0.5,201,1847475
Ep3-Act3,Gold 1,Raze,5,1.01,15.9,15.6,4.8,0.2,0.065,0.5,234,1696209
Ep3-Act3,Gold 1,Killjoy,6,0.96,13.7,14.3,4.0,0.1,0.061,0.51,198,1601451
Ep3-Act3,Gold 1,Viper,7,0.96,14.1,14.6,5.2,0.1,0.059,0.5,197,1553817
Ep3-Act3,Gold 1,Omen,8,0.95,14.4,15.2,5.0,0.1,0.059,0.49,201,1541271
Ep3-Act3,Gold 1,Skye,9,0.93,14.0,15.0,5.9,0.1,0.049,0.5,195,1285914
Ep3-Act3,Gold 1,Chamber,10,1.05,15.4,14.7,3.2,0.1,0.048,0.5,214,1255110
Ep3-Act3,Gold 1,Brimstone,11,0.94,14.0,14.9,6.3,0.1,0.039,0.5,200,1029027
Ep3-Act3,Gold 1,Cypher,12,0.95,13.9,14.6,4.2,0.1,0.03,0.48,193,780453
Ep3-Act3,Gold 1,Phoenix,13,1.02,15.7,15.4,3.9,0.2,0.025,0.48,225,642294
Ep3-Act3,Gold 1,Astra,14,0.98,14.4,14.6,5.1,0.1,0.024,0.49,198,634338
Ep3-Act3,Gold 1,Breach,15,0.91,14.1,15.4,5.1,0.1,0.021,0.49,198,550800
Ep3-Act3,Gold 1,KAY/O,16,0.89,13.7,15.4,7.2,0.1,0.018,0.46,195,478533
Ep3-Act3,Gold 1,Yoru,17,0.95,14.7,15.5,3.4,0.2,0.011,0.44,209,291975
Ep3-Act3,Gold 2,Reyna,1,1.14,17.6,15.4,4.0,0.2,0.15,0.51,247,3453261
Ep3-Act3,Gold 2,Jett,2,1.14,17.6,15.5,3.8,0.2,0.143,0.51,247,3295518
Ep3-Act3,Gold 2,Sage,3,0.92,13.6,14.7,6.7,0.1,0.131,0.51,188,3026952
Ep3-Act3,Gold 2,Sova,4,0.98,14.2,14.6,5.8,0.1,0.071,0.51,203,1627869
Ep3-Act3,Gold 2,Raze,5,1.03,16.1,15.7,4.8,0.2,0.065,0.5,237,1492107
Ep3-Act3,Gold 2,Viper,6,0.98,14.2,14.5,5.2,0.1,0.06,0.51,199,1388118
Ep3-Act3,Gold 2,Killjoy,7,0.97,13.9,14.3,4.0,0.1,0.059,0.51,199,1359354
Ep3-Act3,Gold 2,Omen,8,0.96,14.6,15.2,5.1,0.1,0.057,0.49,202,1323450
Ep3-Act3,Gold 2,Chamber,9,1.06,15.6,14.8,3.2,0.1,0.05,0.5,216,1161525
Ep3-Act3,Gold 2,Skye,10,0.94,14.2,15.1,5.9,0.1,0.05,0.5,197,1145919
Ep3-Act3,Gold 2,Brimstone,11,0.96,14.3,14.9,6.4,0.1,0.038,0.5,202,867357
Ep3-Act3,Gold 2,Cypher,12,0.97,14.2,14.6,4.1,0.1,0.03,0.49,196,698190
Ep3-Act3,Gold 2,Astra,13,1.0,14.6,14.6,5.2,0.1,0.026,0.5,200,591651
Ep3-Act3,Gold 2,Phoenix,14,1.05,16.2,15.4,3.9,0.2,0.022,0.5,230,512091
Ep3-Act3,Gold 2,Breach,15,0.91,14.2,15.5,5.2,0.1,0.021,0.47,199,478482
Ep3-Act3,Gold 2,KAY/O,16,0.89,13.9,15.5,7.3,0.1,0.017,0.45,197,398259
Ep3-Act3,Gold 2,Yoru,17,0.97,15.0,15.6,3.4,0.2,0.01,0.45,213,234345
Ep3-Act3,Gold 3,Reyna,1,1.14,17.7,15.5,4.0,0.2,0.152,0.51,248,3037764
Ep3-Act3,Gold 3,Jett,2,1.14,17.7,15.5,3.8,0.2,0.149,0.51,248,2981358
Ep3-Act3,Gold 3,Sage,3,0.94,13.7,14.6,6.8,0.1,0.128,0.51,190,2555967
Ep3-Act3,Gold 3,Sova,4,0.99,14.4,14.5,5.9,0.1,0.07,0.51,204,1402551
Ep3-Act3,Gold 3,Raze,5,1.03,16.2,15.7,4.8,0.2,0.064,0.51,237,1270410
Ep3-Act3,Gold 3,Viper,6,0.99,14.3,14.5,5.3,0.1,0.061,0.51,199,1210434
Ep3-Act3,Gold 3,Killjoy,7,0.98,14.0,14.3,3.9,0.1,0.056,0.51,200,1128324
Ep3-Act3,Gold 3,Omen,8,0.97,14.7,15.2,5.1,0.1,0.056,0.49,203,1124805
Ep3-Act3,Gold 3,Chamber,9,1.07,15.9,14.8,3.1,0.1,0.052,0.5,218,1031883
Ep3-Act3,Gold 3,Skye,10,0.95,14.3,15.1,5.9,0.1,0.05,0.49,199,1004802
Ep3-Act3,Gold 3,Brimstone,11,0.96,14.4,14.9,6.5,0.1,0.037,0.51,202,738888
Ep3-Act3,Gold 3,Cypher,12,0.97,14.1,14.6,4.1,0.1,0.031,0.49,196,610164
Ep3-Act3,Gold 3,Astra,13,1.0,14.6,14.6,5.3,0.1,0.028,0.5,200,561408
Ep3-Act3,Gold 3,Phoenix,14,1.05,16.2,15.4,3.8,0.2,0.021,0.48,230,413712
Ep3-Act3,Gold 3,Breach,15,0.93,14.3,15.4,5.2,0.1,0.02,0.48,200,405093
Ep3-Act3,Gold 3,KAY/O,16,0.91,14.1,15.5,7.3,0.1,0.016,0.46,199,328083
Ep3-Act3,Gold 3,Yoru,17,0.97,15.2,15.6,3.4,0.2,0.009,0.44,214,184467
Ep3-Act3,Platinum 1,Jett,1,1.12,17.4,15.6,3.7,0.2,0.151,0.5,243,2501958
Ep3-Act3,Platinum 1,Reyna,2,1.11,17.4,15.6,4.0,0.2,0.147,0.5,243,2444838
Ep3-Act3,Platinum 1,Sage,3,0.93,13.6,14.7,6.8,0.1,0.127,0.51,188,2106504
Ep3-Act3,Platinum 1,Sova,4,0.98,14.2,14.6,5.9,0.1,0.073,0.51,202,1212219
Ep3-Act3,Platinum 1,Viper,5,0.98,14.3,14.6,5.3,0.1,0.064,0.51,198,1063758
Ep3-Act3,Platinum 1,Raze,6,1.02,16.0,15.8,4.8,0.2,0.061,0.5,234,1016430
Ep3-Act3,Platinum 1,Omen,7,0.96,14.5,15.2,5.2,0.1,0.057,0.49,200,939726
Ep3-Act3,Platinum 1,Killjoy,8,0.97,14.0,14.4,3.9,0.1,0.055,0.51,199,917388
Ep3-Act3,Platinum 1,Chamber,9,1.05,15.7,15.0,3.1,0.1,0.053,0.5,215,874599
Ep3-Act3,Platinum 1,Skye,10,0.94,14.2,15.2,5.8,0.1,0.051,0.49,196,846600
Ep3-Act3,Platinum 1,Brimstone,11,0.95,14.2,15.0,6.5,0.1,0.036,0.5,199,599862
Ep3-Act3,Platinum 1,Cypher,12,0.97,14.3,14.7,4.0,0.1,0.032,0.48,195,526932
Ep3-Act3,Platinum 1,Astra,13,0.99,14.6,14.7,5.4,0.1,0.03,0.49,198,503982
Ep3-Act3,Platinum 1,Breach,14,0.92,14.2,15.5,5.3,0.1,0.021,0.48,196,340578
Ep3-Act3,Platinum 1,Phoenix,15,1.02,15.9,15.5,3.8,0.2,0.018,0.48,226,307071
Ep3-Act3,Platinum 1,KAY/O,16,0.89,13.9,15.6,7.5,0.1,0.016,0.46,197,262803
Ep3-Act3,Platinum 1,Yoru,17,0.94,14.7,15.7,3.3,0.2,0.008,0.43,207,138108
Ep3-Act3,Platinum 2,Jett,1,1.12,17.5,15.7,3.7,0.2,0.157,0.5,244,2091969
Ep3-Act3,Platinum 2,Reyna,2,1.12,17.5,15.6,4.0,0.2,0.149,0.51,244,1987674
Ep3-Act3,Platinum 2,Sage,3,0.94,13.8,14.8,6.8,0.1,0.122,0.52,189,1628430
Ep3-Act3,Platinum 2,Sova,4,0.98,14.3,14.6,6.0,0.1,0.074,0.51,203,982260
Ep3-Act3,Platinum 2,Viper,5,0.99,14.4,14.6,5.3,0.1,0.064,0.51,199,854607
Ep3-Act3,Platinum 2,Raze,6,1.03,16.3,15.9,4.8,0.2,0.06,0.5,237,804270
Ep3-Act3,Platinum 2,Omen,7,0.96,14.7,15.3,5.3,0.1,0.056,0.49,201,738990
Ep3-Act3,Platinum 2,Chamber,8,1.07,15.9,14.9,3.1,0.1,0.055,0.5,216,732717
Ep3-Act3,Platinum 2,Killjoy,9,0.97,14.1,14.5,3.9,0.1,0.052,0.5,199,697068
Ep3-Act3,Platinum 2,Skye,10,0.95,14.4,15.2,5.7,0.1,0.051,0.49,198,683706
Ep3-Act3,Platinum 2,Brimstone,11,0.96,14.3,14.9,6.7,0.1,0.034,0.51,200,458286
Ep3-Act3,Platinum 2,Cypher,12,0.97,14.4,14.8,4.0,0.1,0.032,0.49,196,425391
Ep3-Act3,Platinum 2,Astra,13,0.99,14.6,14.7,5.5,0.1,0.032,0.5,197,422280
Ep3-Act3,Platinum 2,Breach,14,0.92,14.2,15.4,5.4,0.1,0.02,0.48,197,267903
Ep3-Act3,Platinum 2,Phoenix,15,1.03,16.1,15.6,3.8,0.2,0.016,0.48,227,215781
Ep3-Act3,Platinum 2,KAY/O,16,0.92,14.3,15.5,7.5,0.1,0.016,0.46,201,209304
Ep3-Act3,Platinum 2,Yoru,17,0.96,15.0,15.7,3.3,0.2,0.007,0.42,210,97920
Ep3-Act3,Platinum 3,Jett,1,1.12,17.6,15.7,3.7,0.2,0.162,0.5,244,1707021
Ep3-Act3,Platinum 3,Reyna,2,1.12,17.5,15.7,3.9,0.2,0.152,0.5,243,1595586
Ep3-Act3,Platinum 3,Sage,3,0.94,13.9,14.8,6.8,0.1,0.12,0.51,191,1261587
Ep3-Act3,Platinum 3,Sova,4,0.99,14.5,14.6,6.1,0.1,0.076,0.5,204,794784
Ep3-Act3,Platinum 3,Viper,5,0.99,14.4,14.6,5.3,0.1,0.065,0.5,199,682023
Ep3-Act3,Platinum 3,Raze,6,1.03,16.4,15.9,4.8,0.2,0.059,0.5,238,624189
Ep3-Act3,Platinum 3,Chamber,7,1.08,16.1,14.8,3.0,0.1,0.056,0.51,219,588081
Ep3-Act3,Platinum 3,Omen,8,0.96,14.7,15.4,5.5,0.1,0.055,0.48,201,578340
Ep3-Act3,Platinum 3,Skye,9,0.95,14.5,15.2,5.7,0.1,0.051,0.49,198,533409
Ep3-Act3,Platinum 3,Killjoy,10,0.98,14.2,14.5,3.9,0.1,0.05,0.5,200,522699
Ep3-Act3,Platinum 3,Brimstone,11,0.95,14.4,15.1,6.7,0.1,0.033,0.5,201,349452
Ep3-Act3,Platinum 3,Astra,12,0.99,14.6,14.7,5.6,0.1,0.033,0.49,198,343077
